WTeam,LTeam,WLoc
Atlanta Hawks,Denver Nuggets,V
Los Angeles Lakers,Phoenix Suns,V
Utah Jazz,Brooklyn Nets,H
Sacramento Kings,Portland Trail Blazers,V
Memphis Grizzlies,Charlotte Hornets,V
Orlando Magic,Philadelphia 76ers,H
Boston Celtics,Washington Wizards,V
Houston Rockets,Los Angeles Clippers,H
Minnesota Timberwolves,San Antonio Spurs,V
Los Angeles Lakers,Golden State Warriors,V
Toronto Raptors,Portland Trail Blazers,H
Miami Heat,Cleveland Cavaliers,H
Milwaukee Bucks,Chicago Bulls,V
New Orleans Pelicans,Los Angeles Clippers,V
New York Knicks,Dallas Mavericks,V
Phoenix Suns,Atlanta Hawks,H
Denver Nuggets,Brooklyn Nets,V
Charlotte Hornets,Detroit Pistons,H
Orlando Magic,San Antonio Spurs,H
Houston Rockets,Indiana Pacers,H
Memphis Grizzlies,Utah Jazz,V
Washington Wizards,Minnesota Timberwolves,V
Oklahoma City Thunder,Philadelphia 76ers,V
Boston Celtics,Golden State Warriors,V
Los Angeles Lakers,Sacramento Kings,V
Brooklyn Nets,Chicago Bulls,H
Milwaukee Bucks,Indiana Pacers,V
Charlotte Hornets,New York Knicks,H
Miami Heat,New Orleans Pelicans,H
Houston Rockets,Minnesota Timberwolves,H
Dallas Mavericks,Toronto Raptors,H
Portland Trail Blazers,San Antonio Spurs,H
Los Angeles Clippers,Atlanta Hawks,H
Philadelphia 76ers,Cleveland Cavaliers,H
Sacramento Kings,Boston Celtics,V
Denver Nuggets,Memphis Grizzlies,V
Orlando Magic,Washington Wizards,H
New Orleans Pelicans,Golden State Warriors,V
Los Angeles Lakers,Atlanta Hawks,V
New York Knicks,Cleveland Cavaliers,V
Indiana Pacers,Brooklyn Nets,H
Toronto Raptors,Charlotte Hornets,H
Milwaukee Bucks,Chicago Bulls,V
Houston Rockets,Portland Trail Blazers,H
Dallas Mavericks,San Antonio Spurs,H
Boston Celtics,Phoenix Suns,V
Minnesota Timberwolves,Utah Jazz,V
Los Angeles Clippers,Oklahoma City Thunder,H
Golden State Warriors,Memphis Grizzlies,H
New Orleans Pelicans,Portland Trail Blazers,V
Sacramento Kings,Phoenix Suns,V
Los Angeles Lakers,Oklahoma City Thunder,V
Philadelphia 76ers,New York Knicks,H
Washington Wizards,San Antonio Spurs,V
Milwaukee Bucks,Atlanta Hawks,V
Brooklyn Nets,Charlotte Hornets,H
Dallas Mavericks,Golden State Warriors,H
Miami Heat,Cleveland Cavaliers,H
Toronto Raptors,Orlando Magic,H
Chicago Bulls,Detroit Pistons,V
Utah Jazz,Minnesota Timberwolves,H
Denver Nuggets,Houston Rockets,V
Los Angeles Clippers,Boston Celtics,H
Milwaukee Bucks,Portland Trail Blazers,V
New Orleans Pelicans,Phoenix Suns,V
Detroit Pistons,Atlanta Hawks,V
Washington Wizards,Charlotte Hornets,V
Brooklyn Nets,Sacramento Kings,H
Miami Heat,Chicago Bulls,H
Los Angeles Lakers,Oklahoma City Thunder,V
Philadelphia 76ers,San Antonio Spurs,H
Dallas Mavericks,Cleveland Cavaliers,H
Denver Nuggets,Boston Celtics,V
Utah Jazz,Golden State Warriors,H
Los Angeles Clippers,Houston Rockets,H
Phoenix Suns,Minnesota Timberwolves,H
Chicago Bulls,Charlotte Hornets,V
Indiana Pacers,Orlando Magic,H
Toronto Raptors,Atlanta Hawks,H
San Antonio Spurs,New York Knicks,H
Philadelphia 76ers,Miami Heat,H
Cleveland Cavaliers,Portland Trail Blazers,V
Los Angeles Lakers,Memphis Grizzlies,V
Milwaukee Bucks,Detroit Pistons,V
Utah Jazz,New Orleans Pelicans,H
Dallas Mavericks,Houston Rockets,H
Brooklyn Nets,New York Knicks,H
Sacramento Kings,Washington Wizards,V
Denver Nuggets,Phoenix Suns,V
Los Angeles Clippers,New Orleans Pelicans,H
Brooklyn Nets,Cleveland Cavaliers,H
Detroit Pistons,Orlando Magic,V
Indiana Pacers,Memphis Grizzlies,H
Minnesota Timberwolves,Atlanta Hawks,V
Boston Celtics,Sacramento Kings,V
Miami Heat,Charlotte Hornets,H
Toronto Raptors,Philadelphia 76ers,H
Portland Trail Blazers,Chicago Bulls,H
Milwaukee Bucks,Utah Jazz,V
Los Angeles Lakers,San Antonio Spurs,V
Oklahoma City Thunder,Golden State Warriors,V
Los Angeles Clippers,Dallas Mavericks,H
Denver Nuggets,Washington Wizards,V
Boston Celtics,Brooklyn Nets,V
Charlotte Hornets,Detroit Pistons,H
Orlando Magic,Cleveland Cavaliers,H
Indiana Pacers,Utah Jazz,H
Philadelphia 76ers,Sacramento Kings,H
Toronto Raptors,New York Knicks,H
Houston Rockets,Miami Heat,H
Los Angeles Clippers,Memphis Grizzlies,H
Milwaukee Bucks,Atlanta Hawks,V
Minnesota Timberwolves,San Antonio Spurs,V
