Home,Away,Winner,Loser,WinProb
San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,San Antonio Spurs,0.8251044310985035
Golden State Warriors,Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,0.9630060578858989
Utah Jazz,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,0.9934860513445444
Denver Nuggets,Phoenix Suns,Phoenix Suns,Denver Nuggets,0.9730221344641238
Minnesota Timberwolves,Washington Wizards,Washington Wizards,Minnesota Timberwolves,0.9805116020992494
Brooklyn Nets,Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,0.6435849160708786
Milwaukee Bucks,Chicago Bulls,Chicago Bulls,Milwaukee Bucks,0.8546302344679714
Detroit Pistons,Boston Celtics,Boston Celtics,Detroit Pistons,0.897052628416422
Dallas Mavericks,Miami Heat,Miami Heat,Dallas Mavericks,0.7819314258176194
Charlotte Hornets,Memphis Grizzlies,Memphis Grizzlies,Charlotte Hornets,0.896755433860514
Houston Rockets,Sacramento Kings,Sacramento Kings,Houston Rockets,0.9954651072780208
Indiana Pacers,New York Knicks,Indiana Pacers,New York Knicks,0.8302432385159649
Orlando Magic,Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,0.956322888804631
Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,0.6395118591636255
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,0.5499980996216387
New Orleans Pelicans,Toronto Raptors,Toronto Raptors,New Orleans Pelicans,0.9197305713470327
Golden State Warriors,Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,0.9577144356358316
Chicago Bulls,Dallas Mavericks,Dallas Mavericks,Chicago Bulls,0.667998567982309
San Antonio Spurs,Utah Jazz,San Antonio Spurs,Utah Jazz,0.8660270302615698
Phoenix Suns,Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,0.9066464006454479
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,Memphis Grizzlies,0.9868106116780618
Brooklyn Nets,Washington Wizards,Washington Wizards,Brooklyn Nets,0.9003746507945176
Detroit Pistons,Boston Celtics,Boston Celtics,Detroit Pistons,0.8870038323943118
Minnesota Timberwolves,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,0.9978856688938016
Golden State Warriors,Sacramento Kings,Sacramento Kings,Golden State Warriors,0.9053044469690397
New Orleans Pelicans,Indiana Pacers,Indiana Pacers,New Orleans Pelicans,0.9986654115308969
Milwaukee Bucks,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,0.8776064043880437
Toronto Raptors,Boston Celtics,Toronto Raptors,Boston Celtics,0.72039441296751
Houston Rockets,Dallas Mavericks,Dallas Mavericks,Houston Rockets,0.888873031968286
Atlanta Hawks,New York Knicks,Atlanta Hawks,New York Knicks,0.9052419699628874
Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,0.615110317506036
Miami Heat,Oklahoma City Thunder,Miami Heat,Oklahoma City Thunder,0.857583759484316
Orlando Magic,Cleveland Cavaliers,Cleveland Cavaliers,Orlando Magic,0.6254669711692331
Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Chicago Bulls,0.8526177747655881
Brooklyn Nets,Utah Jazz,Utah Jazz,Brooklyn Nets,0.5313381219496288
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,Memphis Grizzlies,0.9857516680956934
Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,Denver Nuggets,0.8914471813520032
Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,0.9924361185690594
Phoenix Suns,Toronto Raptors,Phoenix Suns,Toronto Raptors,0.9787721734429082
Philadelphia 76ers,Washington Wizards,Washington Wizards,Philadelphia 76ers,0.7962675559189446
Sacramento Kings,Chicago Bulls,Chicago Bulls,Sacramento Kings,0.9800477576653575
New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,New Orleans Pelicans,0.900697711884503
Golden State Warriors,Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,0.8959128620209005
Milwaukee Bucks,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,0.8546890164944467
Indiana Pacers,Houston Rockets,Indiana Pacers,Houston Rockets,0.7619101170626057
Miami Heat,Boston Celtics,Boston Celtics,Miami Heat,0.8937860135482274
Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,0.77702258482849
Orlando Magic,Cleveland Cavaliers,Cleveland Cavaliers,Orlando Magic,0.590230126691661
New York Knicks,Utah Jazz,New York Knicks,Utah Jazz,0.927195546141169
Brooklyn Nets,Philadelphia 76ers,Philadelphia 76ers,Brooklyn Nets,0.9890164446759606
Memphis Grizzlies,Cleveland Cavaliers,Cleveland Cavaliers,Memphis Grizzlies,0.893937159874
Denver Nuggets,Dallas Mavericks,Dallas Mavericks,Denver Nuggets,0.7930445357116448
Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,0.9067648608515946
Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,0.810737284807102
Sacramento Kings,Toronto Raptors,Toronto Raptors,Sacramento Kings,0.7930205682928891
Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers,Chicago Bulls,0.5802477336649594
Golden State Warriors,Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,0.8803778218023949
Milwaukee Bucks,Utah Jazz,Utah Jazz,Milwaukee Bucks,0.843768881745808
Memphis Grizzlies,Brooklyn Nets,Brooklyn Nets,Memphis Grizzlies,0.9993733088782701
Houston Rockets,Orlando Magic,Houston Rockets,Orlando Magic,0.9801243089270107
