Home,Away,Winner,Loser,WinProb
Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers,0.8180628134342269
Cleveland Cavaliers,Minnesota Timberwolves,Minnesota Timberwolves,Cleveland Cavaliers,0.9951310752469734
Chicago Bulls,New York Knicks,Chicago Bulls,New York Knicks,0.8827518400028568
Miami Heat,Charlotte Hornets,Charlotte Hornets,Miami Heat,0.6093828708624202
Atlanta Hawks,Los Angeles Lakers,Los Angeles Lakers,Atlanta Hawks,0.6174742513856507
Orlando Magic,Toronto Raptors,Orlando Magic,Toronto Raptors,0.6460851690254154
Brooklyn Nets,Los Angeles Clippers,Brooklyn Nets,Los Angeles Clippers,0.5961788280423593
Indiana Pacers,Memphis Grizzlies,Memphis Grizzlies,Indiana Pacers,0.7368958751847232
Washington Wizards,Portland Trail Blazers,Washington Wizards,Portland Trail Blazers,0.7904610431802539
Golden State Warriors,Boston Celtics,Golden State Warriors,Boston Celtics,0.5116596354104644
Utah Jazz,Detroit Pistons,Utah Jazz,Detroit Pistons,0.9673243682340915
New Orleans Pelicans,Phoenix Suns,Phoenix Suns,New Orleans Pelicans,0.9947553806325594
San Antonio Spurs,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,0.6262810772840295
Oklahoma City Thunder,Houston Rockets,Houston Rockets,Oklahoma City Thunder,0.9426635797331255
Miami Heat,Washington Wizards,Washington Wizards,Miami Heat,0.8736995689637745
Sacramento Kings,Boston Celtics,Boston Celtics,Sacramento Kings,0.9929337535205432
Chicago Bulls,New York Knicks,Chicago Bulls,New York Knicks,0.8695459328268965
Atlanta Hawks,Dallas Mavericks,Dallas Mavericks,Atlanta Hawks,0.6449660090898202
Milwaukee Bucks,Indiana Pacers,Indiana Pacers,Milwaukee Bucks,0.9443734794403529
Charlotte Hornets,Philadelphia 76ers,Philadelphia 76ers,Charlotte Hornets,0.985005189348221
Cleveland Cavaliers,Los Angeles Clippers,Los Angeles Clippers,Cleveland Cavaliers,0.974609986781722
Atlanta Hawks,Utah Jazz,Atlanta Hawks,Utah Jazz,0.8496590431573358
Dallas Mavericks,Golden State Warriors,Dallas Mavericks,Golden State Warriors,0.7347192332589034
Philadelphia 76ers,Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,0.936838315691294
Memphis Grizzlies,Houston Rockets,Houston Rockets,Memphis Grizzlies,0.621996074611277
Los Angeles Lakers,Denver Nuggets,Denver Nuggets,Los Angeles Lakers,0.676744170952676
Phoenix Suns,Detroit Pistons,Phoenix Suns,Detroit Pistons,0.8201706288855781
Oklahoma City Thunder,Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,0.992902991983947
Miami Heat,Washington Wizards,Washington Wizards,Miami Heat,0.8606826943935075
Charlotte Hornets,Utah Jazz,Charlotte Hornets,Utah Jazz,0.5808837274811043
Los Angeles Clippers,Boston Celtics,Los Angeles Clippers,Boston Celtics,0.8084919471258357
Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Toronto Raptors,0.8352049850351319
Orlando Magic,Chicago Bulls,Chicago Bulls,Orlando Magic,0.6441438164482438
Indiana Pacers,New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,0.9831138511552672
Cleveland Cavaliers,Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers,0.9995095342507603
Los Angeles Lakers,Detroit Pistons,Los Angeles Lakers,Detroit Pistons,0.507311305107776
New Orleans Pelicans,Memphis Grizzlies,Memphis Grizzlies,New Orleans Pelicans,0.998294319487948
Dallas Mavericks,Golden State Warriors,Dallas Mavericks,Golden State Warriors,0.7012794059052686
Oklahoma City Thunder,Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,0.992128144303908
Houston Rockets,San Antonio Spurs,San Antonio Spurs,Houston Rockets,0.6062914143688395
Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,Philadelphia 76ers,0.9545563658424994
Atlanta Hawks,Toronto Raptors,Atlanta Hawks,Toronto Raptors,0.879897148306073
Orlando Magic,Chicago Bulls,Chicago Bulls,Orlando Magic,0.6280346249725397
Sacramento Kings,Denver Nuggets,Denver Nuggets,Sacramento Kings,0.9936354392110994
New York Knicks,Portland Trail Blazers,New York Knicks,Portland Trail Blazers,0.9882722589713124
Cleveland Cavaliers,Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers,0.9994649758467999
Charlotte Hornets,Washington Wizards,Washington Wizards,Charlotte Hornets,0.6878622489025912
Indiana Pacers,Utah Jazz,Indiana Pacers,Utah Jazz,0.7360109462680934
New York Knicks,Miami Heat,New York Knicks,Miami Heat,0.5760208844847522
Phoenix Suns,Boston Celtics,Phoenix Suns,Boston Celtics,0.691817267363308
Los Angeles Clippers,Sacramento Kings,Sacramento Kings,Los Angeles Clippers,0.7853062387580206
Denver Nuggets,Milwaukee Bucks,Milwaukee Bucks,Denver Nuggets,0.9540291602650381
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,0.6344367989046953
Phoenix Suns,Cleveland Cavaliers,Phoenix Suns,Cleveland Cavaliers,0.6143683931120418
San Antonio Spurs,Golden State Warriors,San Antonio Spurs,Golden State Warriors,0.7858206735622915
Dallas Mavericks,Minnesota Timberwolves,Minnesota Timberwolves,Dallas Mavericks,0.5918103487360828
Memphis Grizzlies,Toronto Raptors,Toronto Raptors,Memphis Grizzlies,0.6747131996398907
Chicago Bulls,Washington Wizards,Chicago Bulls,Washington Wizards,0.532742649787455
Charlotte Hornets,Houston Rockets,Charlotte Hornets,Houston Rockets,0.6985213737532315
Detroit Pistons,Brooklyn Nets,Brooklyn Nets,Detroit Pistons,0.9816058205436965
Miami Heat,New York Knicks,Miami Heat,New York Knicks,0.6886432430556724
New Orleans Pelicans,Houston Rockets,Houston Rockets,New Orleans Pelicans,0.9767992414584321
San Antonio Spurs,Golden State Warriors,San Antonio Spurs,Golden State Warriors,0.7598784504163295
Portland Trail Blazers,Orlando Magic,Portland Trail Blazers,Orlando Magic,0.9966577576444969
Sacramento Kings,Philadelphia 76ers,Philadelphia 76ers,Sacramento Kings,0.9992621618382918
Utah Jazz,Boston Celtics,Utah Jazz,Boston Celtics,0.8618681812976391
Phoenix Suns,Milwaukee Bucks,Milwaukee Bucks,Phoenix Suns,0.6425625623539066
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,0.630391865996043
Denver Nuggets,Cleveland Cavaliers,Cleveland Cavaliers,Denver Nuggets,0.8641235072782523
Chicago Bulls,New Orleans Pelicans,New Orleans Pelicans,Chicago Bulls,0.9891526929282015
Memphis Grizzlies,Charlotte Hornets,Charlotte Hornets,Memphis Grizzlies,0.7227342770621387
Brooklyn Nets,Indiana Pacers,Indiana Pacers,Brooklyn Nets,0.6260762221668587
Washington Wizards,Toronto Raptors,Washington Wizards,Toronto Raptors,0.5040746508029826
Minnesota Timberwolves,Los Angeles Clippers,Los Angeles Clippers,Minnesota Timberwolves,0.8112318765686335
Dallas Mavericks,Atlanta Hawks,Dallas Mavericks,Atlanta Hawks,0.56662374289571
Portland Trail Blazers,Philadelphia 76ers,Philadelphia 76ers,Portland Trail Blazers,0.7527704230802224
Boston Celtics,Toronto Raptors,Boston Celtics,Toronto Raptors,0.6539688771948745
Houston Rockets,Miami Heat,Miami Heat,Houston Rockets,0.9695394080794464
Detroit Pistons,Indiana Pacers,Indiana Pacers,Detroit Pistons,0.8695503351823681
Golden State Warriors,Orlando Magic,Golden State Warriors,Orlando Magic,0.9819082183840228
Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies,Los Angeles Lakers,0.7771187442606305
Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Cleveland Cavaliers,0.6587702612836002
Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,0.6167492509664059
Sacramento Kings,Orlando Magic,Orlando Magic,Sacramento Kings,0.6241046517317412
Chicago Bulls,Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers,0.7114907960836482
Utah Jazz,Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,0.7229069505853623
Dallas Mavericks,New Orleans Pelicans,New Orleans Pelicans,Dallas Mavericks,0.9888219564909416
Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,San Antonio Spurs,0.9314048097684485
Washington Wizards,New York Knicks,Washington Wizards,New York Knicks,0.658138084256938
Charlotte Hornets,Minnesota Timberwolves,Minnesota Timberwolves,Charlotte Hornets,0.6497642755578241
Boston Celtics,Detroit Pistons,Detroit Pistons,Boston Celtics,0.813870277105827
Phoenix Suns,Philadelphia 76ers,Philadelphia 76ers,Phoenix Suns,0.719494521591338
Atlanta Hawks,Indiana Pacers,Atlanta Hawks,Indiana Pacers,0.5644475019393703
New York Knicks,Houston Rockets,New York Knicks,Houston Rockets,0.9558145911459225
Golden State Warriors,Brooklyn Nets,Brooklyn Nets,Golden State Warriors,0.9053836418279063
Utah Jazz,Miami Heat,Utah Jazz,Miami Heat,0.9051763477124183
Sacramento Kings,Memphis Grizzlies,Memphis Grizzlies,Sacramento Kings,0.9962451839655747
Los Angeles Clippers,Cleveland Cavaliers,Los Angeles Clippers,Cleveland Cavaliers,0.689096539684843
Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,0.9019089883232052
Oklahoma City Thunder,Milwaukee Bucks,Milwaukee Bucks,Oklahoma City Thunder,0.999002813351074
Phoenix Suns,Orlando Magic,Phoenix Suns,Orlando Magic,0.996606784250406
Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Minnesota Timberwolves,0.7675039029580134
Detroit Pistons,New Orleans Pelicans,New Orleans Pelicans,Detroit Pistons,0.995726560384892
Charlotte Hornets,San Antonio Spurs,Charlotte Hornets,San Antonio Spurs,0.7927201242432252
Washington Wizards,Boston Celtics,Boston Celtics,Washington Wizards,0.9594981459950609
Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Portland Trail Blazers,0.9054533295940156
Sacramento Kings,Brooklyn Nets,Brooklyn Nets,Sacramento Kings,0.9988861909337999
Los Angeles Clippers,Miami Heat,Los Angeles Clippers,Miami Heat,0.7107101043795441
Utah Jazz,Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,0.7378520901865677
Golden State Warriors,Cleveland Cavaliers,Cleveland Cavaliers,Golden State Warriors,0.7860580301335821
Washington Wizards,Houston Rockets,Houston Rockets,Washington Wizards,0.6476899329273971
Indiana Pacers,Chicago Bulls,Indiana Pacers,Chicago Bulls,0.8604994601043646
New York Knicks,Atlanta Hawks,New York Knicks,Atlanta Hawks,0.9390668042823775
Phoenix Suns,Brooklyn Nets,Brooklyn Nets,Phoenix Suns,0.6145246341903964
Boston Celtics,Denver Nuggets,Denver Nuggets,Boston Celtics,0.9578229589495308
Memphis Grizzlies,New Orleans Pelicans,New Orleans Pelicans,Memphis Grizzlies,0.997284561784958
Milwaukee Bucks,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,0.55021524123783
Minnesota Timberwolves,Los Angeles Lakers,Los Angeles Lakers,Minnesota Timberwolves,0.972235012626316
Oklahoma City Thunder,Portland Trail Blazers,Portland Trail Blazers,Oklahoma City Thunder,0.8878991702065393
New Orleans Pelicans,Portland Trail Blazers,Portland Trail Blazers,New Orleans Pelicans,0.9023073168636022
Memphis Grizzlies,Oklahoma City Thunder,Oklahoma City Thunder,Memphis Grizzlies,0.8829002602686832
Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,Utah Jazz,0.9830057426779545
Golden State Warriors,Miami Heat,Miami Heat,Golden State Warriors,0.8198607633627117
Washington Wizards,Denver Nuggets,Denver Nuggets,Washington Wizards,0.9829824339999825
Minnesota Timberwolves,Indiana Pacers,Indiana Pacers,Minnesota Timberwolves,0.9287853905619039
Chicago Bulls,Detroit Pistons,Detroit Pistons,Chicago Bulls,0.6355313430182563
Philadelphia 76ers,Houston Rockets,Philadelphia 76ers,Houston Rockets,0.7851832781647942
Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,0.5854806817395635
Orlando Magic,New York Knicks,Orlando Magic,New York Knicks,0.7536507143120486
Milwaukee Bucks,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,0.5047094213290002
Los Angeles Lakers,Brooklyn Nets,Brooklyn Nets,Los Angeles Lakers,0.8122866155515569
Sacramento Kings,Miami Heat,Miami Heat,Sacramento Kings,0.9968841443220111
Minnesota Timberwolves,Toronto Raptors,Toronto Raptors,Minnesota Timberwolves,0.5352189046882503
New Orleans Pelicans,Phoenix Suns,Phoenix Suns,New Orleans Pelicans,0.9952572358658848
Milwaukee Bucks,Oklahoma City Thunder,Oklahoma City Thunder,Milwaukee Bucks,0.8107703569699802
Memphis Grizzlies,Detroit Pistons,Detroit Pistons,Memphis Grizzlies,0.9312936893708036
Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,Utah Jazz,0.9801818053901883
Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,0.5556465714802903
Orlando Magic,Golden State Warriors,Golden State Warriors,Orlando Magic,0.8698736673307296
Cleveland Cavaliers,Denver Nuggets,Denver Nuggets,Cleveland Cavaliers,0.9979497929126756
Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers,Chicago Bulls,0.6681843528709625
Charlotte Hornets,Golden State Warriors,Golden State Warriors,Charlotte Hornets,0.6872737437593925
Los Angeles Lakers,Miami Heat,Miami Heat,Los Angeles Lakers,0.6859791932042137
Chicago Bulls,Sacramento Kings,Sacramento Kings,Chicago Bulls,0.9931272693369131
Memphis Grizzlies,Phoenix Suns,Phoenix Suns,Memphis Grizzlies,0.9496433120979842
Portland Trail Blazers,Washington Wizards,Portland Trail Blazers,Washington Wizards,0.7729418870043914
Milwaukee Bucks,Sacramento Kings,Sacramento Kings,Milwaukee Bucks,0.9986861455186337
Los Angeles Clippers,Brooklyn Nets,Los Angeles Clippers,Brooklyn Nets,0.7699465142137543
Atlanta Hawks,Denver Nuggets,Denver Nuggets,Atlanta Hawks,0.7515435137670974
Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,0.6830966718919756
New Orleans Pelicans,Boston Celtics,Boston Celtics,New Orleans Pelicans,0.999061481746401
New York Knicks,Minnesota Timberwolves,New York Knicks,Minnesota Timberwolves,0.7739252039230109
Cleveland Cavaliers,Oklahoma City Thunder,Oklahoma City Thunder,Cleveland Cavaliers,0.9622220521286471
Orlando Magic,Detroit Pistons,Detroit Pistons,Orlando Magic,0.78650219267168
Utah Jazz,Charlotte Hornets,Utah Jazz,Charlotte Hornets,0.9907708476123693
Los Angeles Lakers,Washington Wizards,Washington Wizards,Los Angeles Lakers,0.756553799393527
Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,0.9922409142220073
Oklahoma City Thunder,Miami Heat,Miami Heat,Oklahoma City Thunder,0.9872081274693433
Dallas Mavericks,Memphis Grizzlies,Memphis Grizzlies,Dallas Mavericks,0.9220440228504861
Houston Rockets,Chicago Bulls,Chicago Bulls,Houston Rockets,0.8802339380280929
Cleveland Cavaliers,Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,0.9772362767323536
Orlando Magic,Detroit Pistons,Detroit Pistons,Orlando Magic,0.7699923163319298
Brooklyn Nets,Sacramento Kings,Sacramento Kings,Brooklyn Nets,0.9724709827889063
Dallas Mavericks,Boston Celtics,Boston Celtics,Dallas Mavericks,0.8859492568334917
New York Knicks,Golden State Warriors,New York Knicks,Golden State Warriors,0.882310113299393
Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,0.6600772282874781
Milwaukee Bucks,Minnesota Timberwolves,Minnesota Timberwolves,Milwaukee Bucks,0.9677003204574084
Denver Nuggets,Portland Trail Blazers,Denver Nuggets,Portland Trail Blazers,0.9229570199858476
Los Angeles Clippers,Washington Wizards,Los Angeles Clippers,Washington Wizards,0.8996327135019921
Utah Jazz,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,0.7218824292752337
Phoenix Suns,Charlotte Hornets,Phoenix Suns,Charlotte Hornets,0.9519193544696329
Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,Oklahoma City Thunder,0.9036020276593144
New Orleans Pelicans,Detroit Pistons,Detroit Pistons,New Orleans Pelicans,0.9892267585865389
Chicago Bulls,Minnesota Timberwolves,Minnesota Timberwolves,Chicago Bulls,0.707233582912168
Indiana Pacers,Golden State Warriors,Indiana Pacers,Golden State Warriors,0.5855761792158929
Cleveland Cavaliers,Houston Rockets,Houston Rockets,Cleveland Cavaliers,0.9720155729447171
Atlanta Hawks,Boston Celtics,Boston Celtics,Atlanta Hawks,0.6842514943556084
Miami Heat,Toronto Raptors,Miami Heat,Toronto Raptors,0.7413997800464979
Philadelphia 76ers,Dallas Mavericks,Dallas Mavericks,Philadelphia 76ers,0.5958110676818829
Brooklyn Nets,Orlando Magic,Brooklyn Nets,Orlando Magic,0.9801185618997524
New York Knicks,Sacramento Kings,Sacramento Kings,New York Knicks,0.8041293336914122
Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,0.5836780749390664
Denver Nuggets,Washington Wizards,Washington Wizards,Denver Nuggets,0.7653261088465468
Milwaukee Bucks,New Orleans Pelicans,New Orleans Pelicans,Milwaukee Bucks,0.9994025699398763
Miami Heat,Utah Jazz,Miami Heat,Utah Jazz,0.683617888923989
Golden State Warriors,Charlotte Hornets,Golden State Warriors,Charlotte Hornets,0.7095602320373036
Oklahoma City Thunder,Atlanta Hawks,Atlanta Hawks,Oklahoma City Thunder,0.9700977447822515
Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,0.5623954853240856
Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,0.9022491614846831
Chicago Bulls,Phoenix Suns,Phoenix Suns,Chicago Bulls,0.5774022498975895
Toronto Raptors,Houston Rockets,Toronto Raptors,Houston Rockets,0.9261668796893839
Boston Celtics,Indiana Pacers,Indiana Pacers,Boston Celtics,0.6293716164684355
Detroit Pistons,Sacramento Kings,Sacramento Kings,Detroit Pistons,0.9822784236368557
Philadelphia 76ers,Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,0.8765337070418686
Washington Wizards,Minnesota Timberwolves,Minnesota Timberwolves,Washington Wizards,0.8858406099230255
New York Knicks,Indiana Pacers,New York Knicks,Indiana Pacers,0.9058818761219242
Oklahoma City Thunder,Denver Nuggets,Denver Nuggets,Oklahoma City Thunder,0.9970112064297906
Orlando Magic,Utah Jazz,Utah Jazz,Orlando Magic,0.6149753296012141
San Antonio Spurs,New Orleans Pelicans,New Orleans Pelicans,San Antonio Spurs,0.980046442228299
Brooklyn Nets,Dallas Mavericks,Dallas Mavericks,Brooklyn Nets,0.5022379890258069
Minnesota Timberwolves,Phoenix Suns,Phoenix Suns,Minnesota Timberwolves,0.8460903223497804
Miami Heat,Atlanta Hawks,Atlanta Hawks,Miami Heat,0.5013447319582576
Los Angeles Lakers,Golden State Warriors,Golden State Warriors,Los Angeles Lakers,0.6115753003559338
Sacramento Kings,Charlotte Hornets,Charlotte Hornets,Sacramento Kings,0.9578849010686971
Detroit Pistons,New York Knicks,Detroit Pistons,New York Knicks,0.8921164390699885
Boston Celtics,Washington Wizards,Washington Wizards,Boston Celtics,0.8321603280486469
Milwaukee Bucks,Los Angeles Clippers,Los Angeles Clippers,Milwaukee Bucks,0.5757519070350023
Houston Rockets,Memphis Grizzlies,Memphis Grizzlies,Houston Rockets,0.9905961654798895
Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,0.9820500914493913
San Antonio Spurs,Brooklyn Nets,Brooklyn Nets,San Antonio Spurs,0.8907547237471513
New Orleans Pelicans,Utah Jazz,Utah Jazz,New Orleans Pelicans,0.9730653006410064
Portland Trail Blazers,Charlotte Hornets,Portland Trail Blazers,Charlotte Hornets,0.9461220911596344
Philadelphia 76ers,Indiana Pacers,Indiana Pacers,Philadelphia 76ers,0.5852635642258228
Orlando Magic,Dallas Mavericks,Dallas Mavericks,Orlando Magic,0.8435961523919357
Chicago Bulls,Denver Nuggets,Denver Nuggets,Chicago Bulls,0.9037006308979949
Washington Wizards,Memphis Grizzlies,Memphis Grizzlies,Washington Wizards,0.9812800460016404
Boston Celtics,Los Angeles Clippers,Boston Celtics,Los Angeles Clippers,0.866062174596885
Miami Heat,Atlanta Hawks,Miami Heat,Atlanta Hawks,0.5334058355974861
San Antonio Spurs,New York Knicks,San Antonio Spurs,New York Knicks,0.9496188084426331
Milwaukee Bucks,Denver Nuggets,Denver Nuggets,Milwaukee Bucks,0.9878056447158258
Los Angeles Lakers,Phoenix Suns,Phoenix Suns,Los Angeles Lakers,0.5081069888851422
Sacramento Kings,Los Angeles Lakers,Los Angeles Lakers,Sacramento Kings,0.9993601442086905
Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Golden State Warriors,0.9114115507897942
Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,0.6730152951374249
Orlando Magic,Atlanta Hawks,Atlanta Hawks,Orlando Magic,0.7716971047229785
New Orleans Pelicans,Chicago Bulls,Chicago Bulls,New Orleans Pelicans,0.9949712248837986
Houston Rockets,Brooklyn Nets,Brooklyn Nets,Houston Rockets,0.9925217522270265
Toronto Raptors,Detroit Pistons,Toronto Raptors,Detroit Pistons,0.9152807475669323
Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Utah Jazz,0.7790300027183722
Cleveland Cavaliers,Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,0.9841298506197405
Minnesota Timberwolves,Charlotte Hornets,Charlotte Hornets,Minnesota Timberwolves,0.8076027902296226
Portland Trail Blazers,Sacramento Kings,Sacramento Kings,Portland Trail Blazers,0.7954424040414985
Phoenix Suns,Golden State Warriors,Phoenix Suns,Golden State Warriors,0.9101162572615227
San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,0.7353545428384778
Memphis Grizzlies,Milwaukee Bucks,Milwaukee Bucks,Memphis Grizzlies,0.9994074714382178
New Orleans Pelicans,Miami Heat,Miami Heat,New Orleans Pelicans,0.9927453817192088
New York Knicks,Detroit Pistons,New York Knicks,Detroit Pistons,0.9303644202789687
Washington Wizards,Los Angeles Clippers,Washington Wizards,Los Angeles Clippers,0.5550008228356332
Boston Celtics,Toronto Raptors,Boston Celtics,Toronto Raptors,0.8371660033532569
Indiana Pacers,Denver Nuggets,Denver Nuggets,Indiana Pacers,0.6226704060367254
Memphis Grizzlies,Washington Wizards,Washington Wizards,Memphis Grizzlies,0.960132195094776
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,0.8579753086271668
Oklahoma City Thunder,Dallas Mavericks,Dallas Mavericks,Oklahoma City Thunder,0.975375050036377
Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,0.948485204508082
Sacramento Kings,Houston Rockets,Houston Rockets,Sacramento Kings,0.9738703259383455
Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,Golden State Warriors,0.9418422971787433
New Orleans Pelicans,Minnesota Timberwolves,Minnesota Timberwolves,New Orleans Pelicans,0.9964728376653363
Brooklyn Nets,Boston Celtics,Boston Celtics,Brooklyn Nets,0.6520678350986293
Miami Heat,Orlando Magic,Miami Heat,Orlando Magic,0.9420520955705529
Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,0.9679118249385165
Toronto Raptors,Atlanta Hawks,Toronto Raptors,Atlanta Hawks,0.8950477305766342
Charlotte Hornets,Detroit Pistons,Detroit Pistons,Charlotte Hornets,0.5937412386032104
Milwaukee Bucks,New York Knicks,New York Knicks,Milwaukee Bucks,0.5417024463428909
Utah Jazz,Houston Rockets,Utah Jazz,Houston Rockets,0.9841720821336701
Memphis Grizzlies,Denver Nuggets,Denver Nuggets,Memphis Grizzlies,0.9762961795987228
New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers,New Orleans Pelicans,0.998944590638345
Washington Wizards,Philadelphia 76ers,Philadelphia 76ers,Washington Wizards,0.9885239481375444
Chicago Bulls,Miami Heat,Chicago Bulls,Miami Heat,0.5045791279584521
San Antonio Spurs,Orlando Magic,San Antonio Spurs,Orlando Magic,0.9731654155122037
Los Angeles Lakers,Indiana Pacers,Indiana Pacers,Los Angeles Lakers,0.650241619995971
Denver Nuggets,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,0.6729713438790814
Phoenix Suns,Indiana Pacers,Phoenix Suns,Indiana Pacers,0.9179727068339545
Atlanta Hawks,Sacramento Kings,Sacramento Kings,Atlanta Hawks,0.9597863105442451
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,0.7155863229588044
Charlotte Hornets,Toronto Raptors,Charlotte Hornets,Toronto Raptors,0.7974626504340583
Washington Wizards,Milwaukee Bucks,Milwaukee Bucks,Washington Wizards,0.9989954188414587
Brooklyn Nets,Detroit Pistons,Brooklyn Nets,Detroit Pistons,0.6898203120485867
Oklahoma City Thunder,New York Knicks,New York Knicks,Oklahoma City Thunder,0.8005976475935656
New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,New Orleans Pelicans,0.9725404474715256
Chicago Bulls,Toronto Raptors,Chicago Bulls,Toronto Raptors,0.8214988676191572
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,0.6807825696260579
Houston Rockets,Boston Celtics,Boston Celtics,Houston Rockets,0.9590486765662931
Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,Atlanta Hawks,0.6858327445744403
Orlando Magic,Miami Heat,Miami Heat,Orlando Magic,0.8513492479289748
Philadelphia 76ers,San Antonio Spurs,Philadelphia 76ers,San Antonio Spurs,0.8431924117604462
Golden State Warriors,Utah Jazz,Golden State Warriors,Utah Jazz,0.8166318197035574
Oklahoma City Thunder,Memphis Grizzlies,Memphis Grizzlies,Oklahoma City Thunder,0.9989497836838197
Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,Golden State Warriors,0.9644775824443065
Phoenix Suns,Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,0.5060499059179017
Denver Nuggets,Indiana Pacers,Denver Nuggets,Indiana Pacers,0.5308265651263505
Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers,0.9170802261068596
Brooklyn Nets,New York Knicks,Brooklyn Nets,New York Knicks,0.9647816192752635
Washington Wizards,Milwaukee Bucks,Milwaukee Bucks,Washington Wizards,0.9988047183637297
Charlotte Hornets,Sacramento Kings,Sacramento Kings,Charlotte Hornets,0.9819186322660234
Detroit Pistons,San Antonio Spurs,Detroit Pistons,San Antonio Spurs,0.6196653721242817
Boston Celtics,Utah Jazz,Boston Celtics,Utah Jazz,0.6964756624906495
Chicago Bulls,Oklahoma City Thunder,Oklahoma City Thunder,Chicago Bulls,0.5743098653488448
Houston Rockets,Atlanta Hawks,Atlanta Hawks,Houston Rockets,0.9532782689233404
Miami Heat,Cleveland Cavaliers,Cleveland Cavaliers,Miami Heat,0.7785473163849796
Philadelphia 76ers,New York Knicks,Philadelphia 76ers,New York Knicks,0.9554000515412894
Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans,Portland Trail Blazers,0.9787186104987876
Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,0.5026507487355707
Houston Rockets,Golden State Warriors,Golden State Warriors,Houston Rockets,0.9448576627881704
Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers,0.9036120954215683
